row_id,decision,resolution_status,resolution_basis,resolved_state_json,queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date,technical_action,technical_conflict_code,technical_conflict
FM27-de1dc552a80f80559101e3cb,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,BEL1,Lommel SK,5026,Djordje Gordic,858324,2004-11-05,,,,458783,MISSING_FROM_FM,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,AMBIGUOUS_LOCAL_NATIVE_IDENTITY,Local candidate fm_id 107669 is not strong enough for a duplicate-safe bridge.
FM27-bff6044dddadaef8f668f1b9,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,ITA1,AC Monza,2919,Eddy Kouadio,957822,2006-05-03,,,,1769533,MISSING_FROM_FM,https://www.transfermarkt.de/ac-monza/kader/verein/2919/saison_id/2026/plus/1,8f193279202724cc57a68a08441deb0fe889b73d8d97804595e81268516bfe10,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,AMBIGUOUS_LOCAL_NATIVE_IDENTITY,Local candidate fm_id 117314 is not strong enough for a duplicate-safe bridge.
FM27-5c3270b168052f588cedeb4f,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,TUR1,Alanyaspor,11282,Mahmut Can Kara,1175619,2006-01-01,,,,3145783,MISSING_FROM_FM,https://www.transfermarkt.de/alanyaspor/kader/verein/11282/saison_id/2026/plus/1,433f3e66ff8083db45d3eda79b081cc9c234137060d5070be407da48d877ae43,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,AMBIGUOUS_LOCAL_NATIVE_IDENTITY,Local candidate fm_id 201500 is not strong enough for a duplicate-safe bridge.
FM27-e6bbc1e6681c22f1be7c236a,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,TUR1,Samsunspor,152,Mustafa Tan,1161013,2005-04-27,,,,3145745,MISSING_FROM_FM,https://www.transfermarkt.de/samsunspor/kader/verein/152/saison_id/2026/plus/1,4e99640342d6c03de82a839147f9c53a0cc4bc14523c727d2894fc2df5432171,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,AMBIGUOUS_LOCAL_NATIVE_IDENTITY,Local candidate fm_id 201384 is not strong enough for a duplicate-safe bridge.
FM27-601fbe5cfd24a77945dc8b1a,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,TUR1,Gaziantep FK,2832,Taha Güneş,1048119,2006-01-01,,,,3145773,MISSING_FROM_FM,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,AMBIGUOUS_LOCAL_NATIVE_IDENTITY,Local candidate fm_id 200297 is not strong enough for a duplicate-safe bridge.
FM27-260226f100ea862dc4e7733e,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,CZE1,FC Zbrojovka Brünn,5225,Colin Andrew,943864,2004-02-25,,,,786447,MISSING_FROM_FM,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-aefefc2f74b233d38b7dae17,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,CZE1,FK Mlada Boleslav,5546,Dominik Mares,941029,2003-02-03,,,,786434,MISSING_FROM_FM,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-122e54be8300b17d762ba73e,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,CZE1,FK Mlada Boleslav,5546,Jan Jinoch,1166018,2006-05-02,,,,786434,MISSING_FROM_FM,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-982fb480e9df42d16644360f,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,CZE1,FK Pardubice,1496,Martin Reil,1143628,2006-05-05,,,,790538,MISSING_FROM_FM,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-b106df6866c47382093854d9,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,Two-attempt creation triage remains blocked: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,ENG1,Brentford,1148,El Hadji Malick Diouf,1111589,2004-12-29,,,,917569,TWO_ATTEMPT_CREATION_TRIAGE,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
